year,region,county,town,Akce za zruš.Senátu a proti t.,,ods,ksčm,Str.venkova-spoj.občan.síly,Balbínova poetická strana,Republikáni,Republikáni Miroslava Sládka,Nové hnutí,České sociálně demokrat.hnutí,Humanistická aliance,Cesta změny,Strana zdravého rozumu,Česká strana národně sociální,Česká pravice,Volba pro budoucnost,sz,Strana za životní jistoty,"Koalice KDU-ČSL, US-DEU",Naděje,Národně demokratická strana,Moravská demokratická strana,Občanská demokratická aliance,čssd,Sdružení nezávislých,Demokratická liga,Pravý Blok,Strana demokrat.socialismu,Romská občanská iniciativa ČR,voters,votes_ok,votes_all
2002,Hlavní město Praha,Praha 1,Praha 1,,,6366,1252,18,235,6,85,4,,53,74,16,150,16,36,553,54,4579,154,18,,120,4399,385,14,202,19,,31433,18808,18887
2002,Hlavní město Praha,Praha 2,Praha 2,,,9141,1803,35,350,9,117,8,,72,71,31,197,17,46,714,73,5592,193,25,,172,6413,499,19,287,22,,45373,25906,26021
2002,Hlavní město Praha,Praha 3,Praha 3,,,11999,3856,61,339,21,165,5,,86,115,36,306,11,72,883,145,6358,279,36,,204,9396,564,17,327,32,,60841,35313,35445
2002,Hlavní město Praha,Praha 4,Praha 4,,,23399,7062,96,548,52,293,20,,187,222,80,568,22,107,1632,259,13619,499,74,,364,17464,1304,35,516,56,,114735,68478,68749
2002,Hlavní město Praha,Praha 5,Praha 16,,,1326,426,5,24,2,17,1,,16,7,2,27,4,9,74,13,632,30,3,,18,834,90,1,24,2,,5513,3587,3602
2002,Hlavní město Praha,Praha 5,Praha-Slivenec,,,475,102,6,9,0,2,0,,3,3,3,6,3,0,34,3,179,6,1,,3,206,26,0,25,0,,1693,1095,1099
2002,Hlavní město Praha,Praha 5,Praha 5,,,13101,3384,60,357,16,153,11,,156,152,57,293,24,60,911,150,7874,306,37,,243,9241,823,29,319,22,,63489,37779,37926
2002,Hlavní město Praha,Praha 5,Praha-Velká Chuchle,,,348,86,5,6,1,3,1,,3,3,0,4,1,0,21,7,169,8,1,,2,213,33,2,10,2,,1380,929,935
2002,Hlavní město Praha,Praha 5,Praha-Lipence,,,346,79,3,4,0,5,1,,0,2,2,0,1,2,14,4,125,2,0,,6,173,17,0,7,1,,1267,794,795
2002,Hlavní město Praha,Praha 5,Praha-Zbraslav,,,1439,420,6,32,2,8,1,,6,8,8,34,2,9,90,11,789,27,1,,19,967,67,3,11,2,,6552,3962,3977
