year,region,county,town,kdúčsl,ods,ksčm,Folklor i Společnost,Balbínova poetická strana,4 VIZE-www.4vize.cz,SNK Evropští demokraté,Helax-Ostrava se baví,Strana zdravého rozumu,Liberální reformní strana,Národní strana,Koruna Česká (monarch.strana),-,NEZ.DEMOKRATÉ(předs.V.Železný),Česká pravice,Unie svobody-Demokratická unie,Humanistická strana,sz,Nezávislí,Česká str.národ.socialistická,Právo a Spravedlnost,STRANA ROVNOST ŠANCÍ,čssd,České hnutí za národní jednotu,Pravý Blok,Moravané,Koalice pro Českou republiku,voters,votes_ok,votes_all
2006,Hlavní město Praha,Praha,Praha 1,1300,9437,963,,27,5,824,,47,,27,50,0,49,0,50,19,2392,34,9,26,66,3792,,61,,13,28837,19191,19276
2006,Hlavní město Praha,Praha,Praha 10,2960,29654,5021,,88,24,1884,,180,,81,92,0,220,0,124,70,5581,131,53,82,186,14846,,184,,37,89869,61498,61702
2006,Hlavní město Praha,Praha,Praha 11,1848,20986,4076,,77,27,1462,,152,,76,73,0,213,2,129,75,3951,158,34,77,185,11404,,168,,47,65105,45220,45420
2006,Hlavní město Praha,Praha,Praha 12,1266,14479,2996,,66,34,1054,,134,,62,46,0,139,1,81,38,2798,98,26,61,88,7467,,108,,27,46284,31069,31198
2006,Hlavní město Praha,Praha,Praha 13,1215,13287,1993,,66,16,1118,,83,,35,61,0,134,0,68,52,2481,94,27,47,128,6081,,81,,28,40359,27095,27186
2006,Hlavní město Praha,Praha,Praha 14,843,9416,1511,,30,15,635,,62,,28,25,0,114,0,62,17,1565,49,20,27,55,4753,,54,,23,30667,19304,19392
2006,Hlavní město Praha,Praha,Praha 15,627,7602,1176,,18,10,452,,50,,19,15,0,65,2,43,24,1392,45,9,19,52,3646,,46,,17,22511,15329,15393
2006,Hlavní město Praha,Praha,Praha 16,140,2267,374,,3,4,168,,24,,6,5,0,11,0,9,8,335,13,6,10,18,914,,14,,5,5818,4334,4350
2006,Hlavní město Praha,Praha,Praha 17,549,5927,1054,,28,2,554,,45,,39,17,0,56,1,42,25,1094,57,11,22,39,3035,,33,,15,19963,12645,12676
2006,Hlavní město Praha,Praha,Praha 18,292,3643,811,,14,2,253,,33,,13,15,0,37,0,24,14,660,37,4,9,26,2360,,32,,10,12372,8289,8331
2006,Hlavní město Praha,Praha,Praha 19,106,1316,356,,5,3,94,,14,,4,3,0,20,0,10,7,189,6,5,9,10,740,,11,,4,3883,2912,2922
2006,Hlavní město Praha,Praha,Praha 2,1510,13090,1380,,73,10,1083,,85,,44,76,0,99,2,71,31,3085,65,25,35,87,6018,,90,,21,40128,26980,27094
2006,Hlavní město Praha,Praha,Praha 20,379,3563,902,,12,6,170,,27,,13,9,0,26,0,21,8,536,18,3,8,22,1909,,22,,7,10625,7661,7683
2006,Hlavní město Praha,Praha,Praha 21,183,2707,330,,4,2,115,,16,,8,3,0,24,0,10,8,346,7,3,4,22,1058,,11,,7,6683,4868,4884
2006,Hlavní město Praha,Praha,Praha 22,121,1541,208,,3,2,69,,10,,3,5,0,12,0,6,3,209,11,0,5,7,715,,2,,2,4222,2934,2944
2006,Hlavní město Praha,Praha,Praha 3,1831,17933,2970,,53,20,1429,,126,,58,71,0,165,1,87,60,3632,104,43,48,132,9292,,128,,36,58501,38219,38381
2006,Hlavní město Praha,Praha,Praha 4,3797,35977,5520,,129,23,2511,,213,,92,130,0,288,1,192,91,6743,161,52,84,225,17466,,221,,43,107417,73959,74311
2006,Hlavní město Praha,Praha,Praha 5,2183,21475,2568,,59,17,1877,,116,,61,81,0,158,4,104,63,4194,93,31,64,114,9291,,132,,28,62181,42713,42938
2006,Hlavní město Praha,Praha,Praha 6,3579,28108,5379,,87,20,2382,,122,,71,86,0,173,1,110,67,5855,83,45,54,200,12576,,142,,43,81267,59183,59434
2006,Hlavní město Praha,Praha,Praha 7,1091,10538,1393,,44,13,857,,46,,33,40,0,115,2,111,27,2320,54,24,37,96,5050,,60,,20,33900,21971,22053
2006,Hlavní město Praha,Praha,Praha 8,2513,25809,5503,,80,17,1974,,173,,89,80,0,236,0,117,71,4955,186,43,75,232,14048,,193,,48,85702,56442,56650
2006,Hlavní město Praha,Praha,Praha 9,1043,11180,1821,,35,14,724,,86,,37,31,0,109,0,48,20,1867,72,29,43,93,6024,,93,,25,36247,23394,23463
2006,Hlavní město Praha,Praha,Praha-Běchovice,32,476,87,,3,0,43,,4,,0,0,0,2,0,3,0,73,1,0,3,2,268,,3,,2,1333,1002,1005
