year,region,county,town,kdúčsl,Liberálové.CZ,ods,ksčm,Konzervativní strana,Sdruž.pro rep.-Republ.str.Čsl.,EVROPSKÝ STŘED,Suverenita-blok J.Bobošíkové,STOP,top_09,Dělnic.str.sociální spravedl.,Strana svobodných občanů,Koruna Česká (monarch.strana),-,Klíčové hnutí,Humanistická strana,sz,Strana Práv Občanů ZEMANOVCI,Volte Pr.Blok www.cibulka.net,Česká str.národ.socialistická,Česká pirátská strana,vv,čssd,NÁRODNÍ PROSPERITA,Česká strana národně sociální,Moravané,OBČANÉ.CZ,voters,votes_ok,votes_all
2010,Hlavní město Praha,Praha,Praha 1,580,,4184,643,11,,5,198,5,5263,72,157,39,0,48,18,1265,370,67,,120,1710,1954,,6,,37,24178,16752,16854
2010,Hlavní město Praha,Praha,Praha 10,1275,,14563,3990,30,,20,1235,18,15425,422,553,51,0,129,46,2773,1720,192,,406,5334,9598,,25,,93,85918,57898,58172
2010,Hlavní město Praha,Praha,Praha 11,823,,9723,3403,19,,10,1248,26,10347,342,401,69,0,92,41,1711,1588,163,,365,5015,7282,,33,,90,62144,42791,43054
2010,Hlavní město Praha,Praha,Praha 12,568,,6816,2504,16,,7,858,13,7604,216,340,34,0,51,34,1136,1091,121,,235,3452,4725,,11,,52,43739,29884,30023
2010,Hlavní město Praha,Praha,Praha 13,590,,7023,1647,10,,10,736,4,7690,179,357,59,0,35,35,1234,1083,100,,285,3269,3766,,11,,75,41969,28198,28322
2010,Hlavní město Praha,Praha,Praha 14,345,,4757,1292,17,,9,618,7,4932,204,200,34,0,23,14,714,712,67,,140,2431,3059,,12,,45,31802,19632,19722
2010,Hlavní město Praha,Praha,Praha 15,262,,3941,1051,6,,5,457,3,4266,129,180,21,0,28,15,631,550,74,,121,1858,2369,,7,,38,23283,16012,16090
2010,Hlavní město Praha,Praha,Praha 16,68,,1168,290,2,,0,100,1,1231,39,46,2,0,6,7,152,155,19,,43,439,603,,2,,12,6043,4385,4414
2010,Hlavní město Praha,Praha,Praha 17,280,,2943,914,1,,2,314,3,3198,95,146,16,0,19,18,490,527,44,,94,1385,1967,,9,,18,19003,12483,12553
2010,Hlavní město Praha,Praha,Praha 18,130,,1836,611,4,,5,239,2,1870,65,106,8,0,10,4,286,304,23,,74,1001,1534,,2,,12,12393,8126,8175
2010,Hlavní město Praha,Praha,Praha 19,46,,938,301,2,,1,62,2,863,21,27,4,0,5,1,133,125,8,,23,326,538,,5,,3,4540,3434,3448
2010,Hlavní město Praha,Praha,Praha 2,631,,6018,1052,21,,6,426,5,7190,176,233,41,0,39,18,1648,561,101,,191,2185,3507,,11,,54,36548,24114,24218
2010,Hlavní město Praha,Praha,Praha 20,168,,1943,776,7,,1,214,3,1907,31,66,10,0,12,5,217,316,33,,62,827,1188,,3,,19,11109,7808,7845
2010,Hlavní město Praha,Praha,Praha 21,67,,1555,273,2,,2,93,2,1480,35,52,6,0,7,3,168,180,19,,34,521,664,,3,,9,7236,5175,5215
2010,Hlavní město Praha,Praha,Praha 22,63,,1205,181,1,,3,102,3,1076,28,49,0,0,11,4,133,132,19,,21,417,511,,2,,7,5591,3968,3987
2010,Hlavní město Praha,Praha,Praha 3,723,,8468,2299,6,,8,762,13,10024,249,378,48,0,60,31,2074,1082,127,,319,3625,5785,,16,,69,56645,36166,36353
2010,Hlavní město Praha,Praha,Praha 4,1584,,17419,4305,30,,26,1510,16,19079,415,602,80,0,134,52,3273,2121,285,,481,6684,11278,,36,,137,102641,69547,69921
2010,Hlavní město Praha,Praha,Praha 5,907,,9770,2016,19,,14,627,6,12300,180,387,50,0,52,44,2020,970,128,,279,5550,5522,,11,,65,60571,40917,41139
2010,Hlavní město Praha,Praha,Praha 6,1586,,14469,4070,18,,19,908,9,16033,265,563,69,0,101,56,3240,1404,193,,393,4086,7618,,21,,101,76005,55222,55545
2010,Hlavní město Praha,Praha,Praha 7,436,,5163,1004,9,,6,354,11,6188,142,229,28,0,42,17,1471,587,87,,173,1791,3030,,9,,40,31845,20817,20925
2010,Hlavní město Praha,Praha,Praha 8,1176,,12169,4431,37,,12,1464,17,13328,395,524,63,0,75,41,2391,1717,244,,395,5520,9243,,26,,116,82368,53384,53691
2010,Hlavní město Praha,Praha,Praha 9,430,,6167,1458,12,,6,620,6,5924,191,244,19,0,43,10,960,752,118,,172,2673,4221,,11,,52,39173,24089,24216
2010,Hlavní město Praha,Praha,Praha-Běchovice,11,,299,71,1,,0,26,0,233,8,7,2,0,1,2,38,41,2,,4,115,139,,0,,2,1431,1002,1002
2010,Hlavní město Praha,Praha,Praha-Benice,2,,98,16,0,,0,10,1,111,2,2,0,0,0,0,7,8,4,,3,31,26,,1,,1,407,323,324
2010,Hlavní město Praha,Praha,Praha-Březiněves,9,,144,51,0,,1,11,0,167,4,15,1,0,0,0,21,15,0,,2,68,96,,0,,0,752,605,605
2010,Hlavní město Praha,Praha,Praha-Čakovice,116,,1201,290,1,,1,137,0,1073,29,47,6,0,3,2,152,168,10,,25,485,602,,3,,8,6182,4359,4379
2010,Hlavní město Praha,Praha,Praha-Ďáblice,14,,427,104,1,,0,51,2,452,16,17,2,0,5,0,95,50,1,,5,150,255,,0,,4,2274,1651,1655
2010,Hlavní město Praha,Praha,Praha-Dolní Chabry,45,,603,87,1,,0,49,0,592,11,20,3,0,3,0,63,35,7,,14,182,207,,0,,1,2686,1923,1932
2010,Hlavní město Praha,Praha,Praha-Dolní Měcholupy,11,,321,41,0,,0,49,1,267,5,7,0,0,1,1,28,18,2,,3,87,106,,1,,0,1266,949,960
2010,Hlavní město Praha,Praha,Praha-Dolní Počernice,31,,339,74,0,,1,41,0,340,12,17,3,0,2,3,48,55,4,,1,112,135,,1,,0,1660,1219,1223
2010,Hlavní město Praha,Praha,Praha-Dubeč,27,,439,121,1,,1,56,2,493,13,17,1,0,3,1,45,64,5,,4,190,216,,1,,7,2373,1707,1732
2010,Hlavní město Praha,Praha,Praha-Klánovice,22,,544,58,0,,0,25,3,558,4,17,0,0,2,1,138,62,5,,10,150,201,,0,,9,2433,1809,1820
2010,Hlavní město Praha,Praha,Praha-Koloděje,5,,262,37,0,,0,17,0,214,2,6,0,0,1,2,24,27,2,,6,64,64,,1,,0,941,734,735
2010,Hlavní město Praha,Praha,Praha-Kolovraty,30,,519,73,0,,0,34,0,512,5,22,1,0,1,0,59,46,2,,11,146,178,,0,,5,2234,1644,1676
2010,Hlavní město Praha,Praha,Praha-Královice,2,,34,18,0,,0,7,0,35,1,0,0,0,1,1,6,5,1,,0,16,36,,0,,1,244,164,167
2010,Hlavní město Praha,Praha,Praha-Křeslice,10,,133,11,0,,0,8,0,149,0,4,0,0,0,1,14,11,1,,4,43,52,,1,,0,567,442,443
2010,Hlavní město Praha,Praha,Praha-Kunratice,86,,1141,186,0,,4,74,2,1307,29,41,5,0,1,4,150,101,10,,22,344,418,,0,,8,5417,3933,3954
2010,Hlavní město Praha,Praha,Praha-Libuš,73,,1240,288,2,,1,131,2,1285,48,48,2,0,7,2,174,162,21,,37,557,510,,2,,9,6720,4601,4621
2010,Hlavní město Praha,Praha,Praha-Lipence,10,,406,60,1,,0,32,0,362,7,6,0,0,2,0,33,34,7,,5,157,114,,1,,3,1664,1240,1247
2010,Hlavní město Praha,Praha,Praha-Lochkov,7,,94,26,0,,0,7,0,91,8,8,0,0,0,0,4,4,1,,5,46,38,,0,,3,473,342,344
2010,Hlavní město Praha,Praha,Praha-Lysolaje,22,,160,25,1,,0,13,0,219,2,9,1,0,1,0,50,11,2,,3,62,53,,0,,0,837,634,643
2010,Hlavní město Praha,Praha,Praha-Nebušice,17,,338,83,1,,0,32,0,339,9,12,0,0,3,0,56,26,5,,6,124,154,,0,,4,1661,1209,1212
2010,Hlavní město Praha,Praha,Praha-Nedvězí,2,,56,5,0,,0,2,0,50,3,0,0,0,0,0,5,3,1,,0,25,15,,0,,0,232,167,168
2010,Hlavní město Praha,Praha,Praha-Petrovice,63,,762,226,2,,0,97,0,921,29,47,6,0,4,3,146,120,11,,35,370,396,,2,,7,4956,3247,3262
2010,Hlavní město Praha,Praha,Praha-Přední Kopanina,7,,78,8,0,,0,4,0,97,1,1,0,0,0,0,11,4,2,,2,29,34,,0,,0,388,278,278
2010,Hlavní město Praha,Praha,Praha-Řeporyje,39,,563,68,1,,0,40,1,455,8,11,1,0,1,0,59,59,6,,12,157,188,,0,,4,2474,1673,1678
2010,Hlavní město Praha,Praha,Praha-Satalice,31,,344,63,0,,0,32,0,337,4,10,0,0,0,0,36,26,3,,8,89,152,,2,,0,1529,1137,1145
2010,Hlavní město Praha,Praha,Praha-Slivenec,21,,437,47,0,,2,45,0,509,6,16,1,0,3,3,52,40,6,,15,173,157,,1,,2,2170,1536,1540
2010,Hlavní město Praha,Praha,Praha-Suchdol,79,,712,188,2,,2,58,2,1081,12,37,6,0,7,2,231,108,13,,22,304,439,,0,,3,4751,3308,3340
