year,region,county,town,Aktiv nezávislých občanů,kdúčsl,LEV 21-Národní socialisté,ods,ksčm,HLAVU VZHŮRU - volební blok,Suver.-Strana zdravého rozumu,Strana soukromníků ČR,top_09,Dělnic.str.sociální spravedl.,politické hnutí Změna,ano,Strana svobodných občanů,Koruna Česká (monarch.strana),-,Klub angažovaných nestraníků,sz,Strana Práv Občanů ZEMANOVCI,Úsvit přímé demokr.T.Okamury,Volte Pr.Blok www.cibulka.net,Romská demokratická strana,Česká pirátská strana,OBČANÉ 2011,čssd,voters,votes_ok,votes_all
2013,Hlavní město Praha,Praha,Praha 1,6,1067,5,2011,692,68,11,15,4260,34,104,1671,526,42,0,,1268,107,327,25,,553,9,1410,22611,14211,14289
2013,Hlavní město Praha,Praha,Praha 10,12,2671,31,6318,4466,269,60,63,11747,221,363,8364,1841,92,0,,3326,541,1653,114,,1690,35,7955,82317,51832,52209
2013,Hlavní město Praha,Praha,Praha 11,7,1916,26,3951,4174,161,72,40,7371,175,310,7720,1338,77,0,,2038,381,1399,94,,1499,37,6401,60107,39187,39460
2013,Hlavní město Praha,Praha,Praha 12,11,1405,21,2673,2963,116,63,28,5572,132,233,4944,984,52,0,,1399,257,1037,59,,986,27,4282,42642,27244,27466
2013,Hlavní město Praha,Praha,Praha 13,7,1466,14,2908,2232,102,37,44,5930,108,220,4654,1194,69,0,,1743,238,994,44,,1206,25,3599,42292,26834,27029
2013,Hlavní město Praha,Praha,Praha 14,7,917,15,1897,1718,79,22,24,3893,124,142,3507,689,43,0,,950,196,801,38,,701,16,2825,31865,18604,18722
2013,Hlavní město Praha,Praha,Praha 15,12,660,8,1642,1273,62,25,18,3113,79,109,3026,583,24,0,,814,132,504,33,,527,18,2177,23209,14839,14919
2013,Hlavní město Praha,Praha,Praha 16,1,175,2,933,315,18,8,8,799,15,30,653,126,7,0,,182,29,140,7,,183,4,541,6080,4176,4225
2013,Hlavní město Praha,Praha,Praha 17,5,576,10,1114,1294,55,14,12,2172,63,84,2116,496,18,0,,641,127,380,19,,455,6,1891,18781,11548,11593
2013,Hlavní město Praha,Praha,Praha 18,4,320,10,745,745,25,18,6,1454,51,59,1479,292,16,0,,369,83,327,22,,277,8,1274,12003,7584,7634
2013,Hlavní město Praha,Praha,Praha 19,1,155,2,465,316,14,9,7,695,12,22,543,100,9,0,,190,27,117,6,,139,2,505,4712,3336,3354
2013,Hlavní město Praha,Praha,Praha 2,2,1290,7,2843,1188,86,23,29,5295,71,152,2799,854,64,0,,1738,145,524,56,,839,15,2431,34030,20451,20619
2013,Hlavní město Praha,Praha,Praha 20,8,398,7,797,941,42,14,11,1435,33,59,1361,260,16,0,,337,80,292,19,,238,10,1074,11227,7432,7488
2013,Hlavní město Praha,Praha,Praha 21,2,255,5,761,422,25,16,34,1250,14,32,898,178,15,0,,205,43,171,6,,172,6,664,7499,5174,5210
2013,Hlavní město Praha,Praha,Praha 22,1,217,1,519,254,16,7,3,999,13,33,965,183,2,0,,213,33,135,6,,160,4,528,6440,4292,4319
2013,Hlavní město Praha,Praha,Praha 3,8,1637,27,3774,2584,112,30,40,7536,156,230,4450,1163,90,0,,2569,274,945,67,,1230,19,4287,52802,31228,31448
2013,Hlavní město Praha,Praha,Praha 4,19,3617,48,7949,5082,344,72,71,14689,258,484,10154,2293,130,0,,3965,586,1924,133,,2233,39,9594,99234,63684,64153
2013,Hlavní město Praha,Praha,Praha 5,19,2206,23,4545,2451,228,33,32,9601,155,287,5403,1563,65,0,,2651,320,1004,84,,1379,28,4484,58450,36561,36835
2013,Hlavní město Praha,Praha,Praha 6,20,3273,22,6358,4268,157,42,45,13175,136,369,6528,1772,123,0,,4185,419,1233,84,,1689,21,6542,73443,50461,50812
2013,Hlavní město Praha,Praha,Praha 7,5,1181,14,2401,1165,103,17,16,4766,90,138,2420,802,44,0,,1850,147,463,40,,821,7,2320,32766,18810,18927
2013,Hlavní město Praha,Praha,Praha 8,11,2640,26,5625,5325,183,78,55,10138,202,387,7965,1678,88,0,,2909,496,1735,88,,1690,42,7726,79121,49087,49430
2013,Hlavní město Praha,Praha,Praha 9,7,1075,18,2814,2005,103,34,38,4920,118,193,4213,839,38,0,,1264,259,690,66,,770,14,3663,37457,23141,23335
2013,Hlavní město Praha,Praha,Praha-Běchovice,0,48,0,149,65,1,1,5,234,6,12,200,30,3,0,,40,11,41,4,,35,0,145,1533,1030,1041
2013,Hlavní město Praha,Praha,Praha-Benice,0,13,0,32,22,2,0,0,84,1,1,70,15,1,0,,19,4,14,0,,8,0,30,449,316,317
2013,Hlavní město Praha,Praha,Praha-Březiněves,0,18,1,78,60,1,2,0,148,1,4,142,27,0,0,,22,15,22,0,,15,2,89,860,647,653
2013,Hlavní město Praha,Praha,Praha-Čakovice,1,246,2,514,385,21,4,9,973,16,25,892,166,3,0,,203,50,141,11,,146,3,598,6555,4409,4434
2013,Hlavní město Praha,Praha,Praha-Ďáblice,1,59,0,203,151,6,4,6,444,7,9,280,72,3,0,,93,21,47,5,,59,0,208,2450,1678,1694
2013,Hlavní město Praha,Praha,Praha-Dolní Chabry,2,85,1,286,109,5,5,2,533,6,10,368,61,1,0,,91,10,42,4,,53,4,177,2702,1855,1870
2013,Hlavní město Praha,Praha,Praha-Dolní Měcholupy,1,50,1,150,64,2,2,4,285,6,6,248,27,1,0,,58,3,18,1,,39,2,98,1463,1066,1074
2013,Hlavní město Praha,Praha,Praha-Dolní Počernice,0,72,1,177,82,2,3,0,312,5,5,205,56,6,0,,55,15,75,1,,41,1,139,1714,1253,1262
2013,Hlavní město Praha,Praha,Praha-Dubeč,3,85,0,204,174,3,3,4,419,8,13,356,79,5,0,,74,28,67,2,,62,2,230,2608,1821,1835
2013,Hlavní město Praha,Praha,Praha-Klánovice,0,80,5,295,108,6,1,2,455,5,4,303,76,2,0,,105,15,55,2,,70,3,163,2558,1755,1765
2013,Hlavní město Praha,Praha,Praha-Koloděje,0,35,0,114,54,4,0,2,181,3,4,142,32,0,0,,28,5,30,2,,16,0,76,1004,728,731
2013,Hlavní město Praha,Praha,Praha-Kolovraty,1,80,0,214,108,9,3,6,471,3,12,374,78,3,0,,98,11,49,1,,60,2,194,2410,1777,1783
2013,Hlavní město Praha,Praha,Praha-Královice,0,13,1,24,22,1,0,0,29,1,1,28,6,0,0,,0,1,4,0,,10,0,30,241,171,171
2013,Hlavní město Praha,Praha,Praha-Křeslice,1,17,0,62,23,2,1,0,142,1,1,108,20,0,0,,22,3,23,1,,22,1,39,656,489,492
2013,Hlavní město Praha,Praha,Praha-Kunratice,2,213,1,515,246,22,12,5,1040,9,28,650,150,8,0,,207,44,127,5,,101,1,418,5331,3804,3830
2013,Hlavní město Praha,Praha,Praha-Libuš,1,207,4,482,367,10,9,15,1046,27,21,841,166,8,0,,213,35,186,11,,161,10,512,6722,4332,4360
