year,region,county,town,kdúčsl,ods,ksčm,SPR-Republ.str.Čsl. M.Sládka,OBČANÉ 2011-SPRAVEDL. PRO LIDI,Dobrá volba 2016,top_09,Dělnic.str.sociální spravedl.,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Řád národa - Vlastenecká unie,ano,Strana svobodných občanů,-,Česká národní fronta,STAROSTOVÉ A NEZÁVISLÍ,Národ Sobě,Referendum o Evropské unii,sz,"ROZUMNÍ-stop migraci,diktát.EU",Strana Práv Občanů,Volte Pr.Blok www.cibulka.net,Unie H.A.V.E.L.,Společ.proti výst.v Prok.údolí,Česká pirátská strana,Blok proti islam.-Obran.domova,Radostné Česko,Občanská demokratická aliance,SPORTOVCI,čssd,Česká strana národně sociální,spd,REALISTÉ,voters,votes_ok,votes_all
2017,Hlavní město Praha,Praha,Praha 1,954,2770,392,7,5,1,2783,2,13,9,1654,241,0,,774,,12,514,41,34,12,0,6,2332,14,1,44,11,657,3,617,133,21556,14036,14145
2017,Hlavní město Praha,Praha,Praha 10,2398,8137,2485,53,9,37,6497,53,34,40,10856,1050,0,,2334,,30,1212,230,162,50,8,15,9355,35,17,67,69,3175,12,2998,477,79964,51895,52238
2017,Hlavní město Praha,Praha,Praha 11,1622,5100,2310,35,11,31,3598,53,18,48,10213,846,0,,1548,,23,757,192,137,30,5,13,6763,29,17,57,86,2513,14,2674,373,58353,39116,39279
2017,Hlavní město Praha,Praha,Praha 12,1162,4095,1774,25,11,21,2729,30,13,24,6803,601,0,,1146,,17,544,160,151,23,1,18,5034,21,11,41,62,1750,7,1875,279,42205,28428,28550
2017,Hlavní město Praha,Praha,Praha 13,1253,4444,1273,29,7,18,3173,31,15,24,5678,742,0,,1409,,19,631,123,79,15,1,92,5410,27,12,43,62,1601,6,1735,269,42687,28221,28354
2017,Hlavní město Praha,Praha,Praha 14,803,3004,929,23,5,12,2013,30,16,39,4581,470,0,,817,,21,401,124,96,14,3,10,3561,25,7,34,55,1193,5,1544,183,32506,20018,20128
2017,Hlavní město Praha,Praha,Praha 15,579,2544,713,21,2,8,1624,15,18,17,3928,364,0,,702,,8,318,67,53,13,4,6,2886,21,13,22,36,905,9,1162,142,24276,16200,16273
2017,Hlavní město Praha,Praha,Praha 16,170,865,181,6,0,2,509,9,3,6,927,89,0,,210,,1,55,28,6,6,0,8,772,6,6,6,9,211,1,211,43,6143,4346,4376
2017,Hlavní město Praha,Praha,Praha 17,478,1659,712,14,1,8,1088,13,14,35,2751,270,0,,552,,7,228,50,33,5,2,5,2115,7,2,23,29,727,3,872,123,18223,11826,11873
2017,Hlavní město Praha,Praha,Praha 18,286,1224,397,11,6,3,817,7,5,5,2001,233,0,,348,,2,168,48,33,3,0,1,1372,7,5,12,25,520,2,625,69,12641,8235,8291
2017,Hlavní město Praha,Praha,Praha 19,159,630,175,3,3,1,325,2,0,11,730,77,0,,199,,4,60,25,13,1,0,1,546,2,1,8,9,212,2,237,35,4815,3471,3495
2017,Hlavní město Praha,Praha,Praha 2,1173,3859,587,19,7,8,3577,8,18,15,2875,472,0,,1086,,11,688,58,47,20,4,8,3871,14,11,37,38,991,11,1098,203,32641,20814,20954
2017,Hlavní město Praha,Praha,Praha 20,373,1293,544,11,1,2,688,8,2,11,1843,134,0,,373,,5,137,72,20,6,1,0,1303,9,5,21,21,458,1,507,95,11243,7944,7981
2017,Hlavní město Praha,Praha,Praha 21,218,1163,201,1,1,4,641,1,1,2,1297,101,0,,224,,0,68,19,17,5,0,1,913,3,1,5,12,268,2,299,29,7512,5497,5511
2017,Hlavní město Praha,Praha,Praha 22,184,971,167,1,0,2,612,6,3,11,1031,142,0,,332,,5,100,33,11,0,0,1,852,6,1,14,16,256,0,272,38,7355,5067,5089
2017,Hlavní město Praha,Praha,Praha 3,1451,5288,1360,23,15,18,4785,37,20,25,5792,698,0,,1565,,13,1125,137,101,34,6,11,6069,17,7,54,60,1764,11,1795,290,51837,32571,32736
2017,Hlavní město Praha,Praha,Praha 4,3016,10281,2815,45,16,42,7717,57,47,55,13451,1322,0,,3158,,62,1459,250,197,65,12,33,11134,37,15,95,127,3822,13,3489,630,95350,63462,63865
2017,Hlavní město Praha,Praha,Praha 5,2044,6517,1402,35,12,14,5898,26,25,38,6769,826,0,,2130,,27,1026,143,124,27,6,125,7021,34,12,65,71,1932,11,2086,356,58953,38802,39001
2017,Hlavní město Praha,Praha,Praha 6,3318,8312,2458,30,15,27,8690,34,27,33,8958,897,0,,3306,,32,1565,157,115,35,3,21,9189,29,18,66,89,2893,17,2349,513,74849,53196,53558
