year,region,county,town,Nezávislí,kdúčsl,Strana demokratické levice,čssd,ods,Českomoravská unie středu,ksčm,Levý blok,Občanská demokratická aliance,Mor.nár.str.-Hn.slezskom.sjed.,Sdruž.pro rep.-Republ.str.Čsl.,Hn.samosp.M.aSl.-Mor.nár.sjed.,Svobodní demokraté-LSNS,Demokratická unie,Důchodci za životní jistoty,Česká pravice,voters,votes_ok,votes_all
1996,Praha,Praha I,Praha 1,68,1709,12,3666,11674,28,1069,271,2617,,727,,959,1091,366,19,33748,24276,24408
1996,Praha,Praha II,Praha 2,121,2175,19,5477,16777,32,1450,343,3480,,1098,,1165,1563,609,13,51053,34322,34595
1996,Praha,Praha III,Praha 3,145,2290,19,8031,20318,58,3155,673,4370,,1685,,1500,1924,955,26,65500,45149,45394
1996,Praha,Praha IV,Praha 4,212,4675,57,15491,40116,94,5839,1417,8144,,2919,,2382,3740,1564,21,126183,86671,87043
1996,Praha,Praha V,Praha 5,145,2580,16,7567,20608,42,2574,629,4781,,1496,,1383,2005,767,14,68923,44607,44822
1996,Praha,Praha V,Praha-Lipence,2,23,0,166,371,0,61,9,73,,36,,18,50,23,0,1071,832,840
1996,Praha,Praha V,Praha-Lochkov,2,15,0,62,127,1,36,5,31,,32,,6,20,17,0,446,354,354
1996,Praha,Praha V,Praha-Radotín,17,187,0,813,1797,6,328,38,370,,128,,130,215,100,0,5393,4129,4148
1996,Praha,Praha V,Praha-Řeporyje,9,75,0,233,658,2,103,13,119,,43,,40,80,40,0,1744,1415,1420
1996,Praha,Praha V,Praha-Slivenec,1,35,0,206,506,2,76,14,106,,47,,29,63,35,1,1501,1121,1127
1996,Praha,Praha V,Praha-Velká Chuchle,4,46,0,155,470,3,91,13,83,,36,,31,77,23,3,1278,1035,1037
1996,Praha,Praha V,Praha-Zbraslav,13,228,2,840,2016,10,360,69,417,,132,,162,177,81,3,6164,4510,4531
1996,Praha,Praha V,Praha-Zličín,11,49,1,378,657,2,139,28,135,,77,,46,113,32,0,2309,1668,1680
1996,Praha,Praha VI,Praha 6,168,4236,34,10869,29286,45,6917,1246,6881,,1963,,1879,2399,1031,30,87005,66984,67252
1996,Praha,Praha VI,Praha-Lysolaje,1,43,0,71,209,1,40,7,55,,11,,21,39,15,1,656,514,515
1996,Praha,Praha VI,Praha-Nebušice,5,47,0,216,463,2,138,8,93,,56,,30,41,22,0,1481,1121,1125
1996,Praha,Praha VI,Praha-Před.Kopanina,0,9,0,22,108,0,13,8,12,,5,,4,7,4,1,255,193,193
1996,Praha,Praha VI,Praha-Řepy,56,650,11,2343,4491,15,823,261,1136,,490,,313,460,127,12,16351,11188,11229
1996,Praha,Praha VI,Praha-Suchdol,11,263,2,521,1435,1,262,65,307,,125,,83,123,48,0,4089,3246,3268
1996,Praha,Praha VII,Praha 7,86,1343,13,4626,11740,26,1530,315,2520,,929,,837,1068,478,14,36859,25525,25676
1996,Praha,Praha VII,Praha-Troja,3,44,1,80,237,1,38,10,37,,19,,23,31,6,1,674,531,534
1996,Praha,Praha VIII,Praha 8,206,3287,37,12873,26133,62,5683,1182,5615,,2588,,1852,2909,1226,27,100084,63680,63989
1996,Praha,Praha VIII,Praha-Březiněves,1,8,0,79,133,0,48,3,23,,15,,16,20,17,0,469,363,366
1996,Praha,Praha VIII,Praha-Ďáblice,5,43,4,295,484,3,133,19,125,,50,,50,76,34,0,1831,1321,1329
1996,Praha,Praha VIII,Praha-Dolní Chabry,8,60,0,246,585,1,89,15,113,,74,,35,124,41,0,1794,1391,1401
1996,Praha,Praha IX,Praha 14,66,683,11,3698,6821,20,1194,200,1589,,833,,458,777,355,11,26608,16716,16792
1996,Praha,Praha IX,Praha 9,76,1346,23,5173,11048,19,1839,368,2216,,1071,,749,1152,547,12,40927,25639,25731
1996,Praha,Praha IX,Praha-Běchovice,3,71,1,191,370,0,98,15,87,,46,,25,38,27,0,1198,972,977
1996,Praha,Praha IX,Praha-Čakovice,12,171,2,797,1321,7,387,47,265,,149,,104,128,69,2,4402,3461,3490
1996,Praha,Praha IX,Praha-Dol.Počernice,1,115,0,195,441,1,89,7,82,,58,,48,61,17,1,1417,1116,1120
1996,Praha,Praha IX,Praha-Hor.Počernice,25,299,4,1531,2701,12,800,198,523,,372,,191,263,151,4,9643,7074,7115
1996,Praha,Praha IX,Praha-Kbely,6,156,0,555,1061,2,377,43,211,,164,,88,129,84,0,3666,2876,2891
1996,Praha,Praha IX,Praha-Klánovice,5,84,1,242,786,1,66,19,114,,40,,38,109,14,0,1944,1519,1529
1996,Praha,Praha IX,Praha-Koloděje,1,29,1,94,180,1,34,3,21,,18,,9,16,15,0,544,422,424
1996,Praha,Praha IX,Praha-Letňany,26,317,5,2115,3035,23,664,136,746,,394,,184,349,150,6,11007,8150,8182
1996,Praha,Praha IX,Praha-Satalice,4,84,3,170,359,4,72,13,45,,35,,14,23,29,1,1075,856,860
1996,Praha,Praha IX,Praha-Újezd n.Lesy,10,165,1,733,1491,3,233,66,279,,165,,110,180,63,4,4281,3503,3514
1996,Praha,Praha IX,Praha-Vinoř,3,68,1,314,510,1,134,24,121,,64,,30,41,35,1,1728,1347,1350
1996,Praha,Praha X,Praha 10,181,3652,44,13318,32182,82,5575,1093,6409,,2379,,2079,2985,1484,23,99672,71486,71812
1996,Praha,Praha X,Praha 15,65,754,6,3087,6561,19,1002,250,1440,,582,,462,754,193,6,21541,15181,15252
1996,Praha,Praha X,Praha-Benice,0,9,0,42,68,0,12,2,13,,9,,12,5,7,0,220,179,180
1996,Praha,Praha X,Praha-Dol.Měcholupy,0,34,1,115,271,0,42,9,53,,29,,10,31,17,1,780,613,616
1996,Praha,Praha X,Praha-Dubeč,4,62,0,248,391,3,75,15,100,,44,,27,71,26,1,1475,1067,1075
1996,Praha,Praha X,Praha-Kolovraty,6,52,5,177,362,2,106,7,61,,41,,22,37,27,0,1134,905,909
1996,Praha,Praha X,Praha-Královice,1,4,0,46,58,0,17,4,7,,11,,3,6,21,0,214,178,178
1996,Praha,Praha X,Praha-Křeslice,1,29,0,38,52,0,10,1,7,,9,,2,12,4,0,199,165,166
1996,Praha,Praha X,Praha-Nedvězí,0,4,0,30,63,0,2,0,15,,8,,9,4,1,0,167,136,139
1996,Praha,Praha X,Praha-Petrovice,6,236,0,534,1106,3,176,45,293,,112,,174,144,25,0,4203,2854,2864
1996,Praha,Praha X,Praha-Štěrboholy,1,24,3,87,231,1,43,6,41,,24,,15,39,10,0,648,525,525
1996,Praha,Praha X,Praha-Uhříněves,20,154,1,600,949,4,183,35,197,,138,,98,121,72,1,3592,2573,2583
1996,Praha,Praha XI,Praha 11,181,2373,33,9738,19248,48,3677,921,4644,,1940,,1354,2155,680,23,67671,47015,47246
1996,Praha,Praha XI,Praha-Kunratice,3,153,0,328,1102,6,184,29,208,,92,,69,118,45,6,2925,2343,2355
1996,Praha,Praha XI,Praha-Šeberov,5,42,0,140,332,1,47,6,62,,39,,28,31,27,0,1013,760,774
1996,Praha,Praha XI,Praha-Újezd,4,72,0,75,336,1,28,7,70,,26,,22,28,15,0,924,684,689
1996,Praha,Praha XII,Praha 12,95,1356,28,6475,12581,47,2726,714,3140,,1355,,851,1349,473,12,44505,31202,31343
1996,Praha,Praha XII,Praha-Libuš,18,147,2,684,1834,8,221,58,405,,179,,101,191,42,3,5505,3893,3905
1996,Praha,Praha XIII,Praha 13,92,1092,14,4703,9663,37,1369,417,2516,,1024,,593,1120,251,8,34994,22899,22999
1996,Středočeský kraj,Benešov,Benešov,27,605,31,2435,3148,22,739,208,647,,569,,248,353,353,12,12523,9397,9460
1996,Středočeský kraj,Benešov,Bernartice,0,59,0,52,37,0,2,0,6,,7,,0,9,3,0,190,175,177
1996,Středočeský kraj,Benešov,Bílkovice,3,20,0,50,24,0,16,1,2,,21,,3,2,9,0,163,151,152
1996,Středočeský kraj,Benešov,Blažejovice,0,15,0,27,12,1,14,1,3,,7,,1,0,4,0,95,85,85
1996,Středočeský kraj,Benešov,Borovnice,1,18,0,19,22,0,4,0,3,,6,,0,1,1,0,80,75,75
1996,Středočeský kraj,Benešov,Bukovany,2,13,1,74,100,3,29,1,30,,22,,6,19,17,1,413,318,318
1996,Středočeský kraj,Benešov,Bystřice,18,233,18,665,712,10,179,35,93,,240,,39,101,131,1,3029,2475,2491
1996,Středočeský kraj,Benešov,Ctiboř,1,16,0,11,24,0,2,2,0,,12,,2,3,3,0,82,76,77
1996,Středočeský kraj,Benešov,Čakov,1,13,0,13,15,0,3,0,6,,9,,2,9,3,0,85,74,74
1996,Středočeský kraj,Benešov,Čechtice,5,184,1,244,218,9,73,9,53,,66,,19,18,40,0,1069,939,945
1996,Středočeský kraj,Benešov,Čerčany,10,106,14,341,605,3,63,15,108,,102,,23,70,49,1,2017,1510,1515
1996,Středočeský kraj,Benešov,Červený Újezd,1,50,0,42,56,1,17,2,16,,17,,2,4,15,0,235,223,223
1996,Středočeský kraj,Benešov,Český Šternberk,0,4,0,26,42,1,16,2,4,,5,,6,5,5,0,144,116,116
1996,Středočeský kraj,Benešov,Čtyřkoly,0,10,2,50,58,0,18,2,8,,11,,2,4,7,1,197,173,173
1996,Středočeský kraj,Benešov,Děkanovice,0,16,0,11,8,1,2,0,2,,5,,0,0,3,0,50,48,50
1996,Středočeský kraj,Benešov,Divišov,14,98,0,236,157,5,91,14,26,,59,,37,31,45,0,1083,813,822
1996,Středočeský kraj,Benešov,Dolní Kralovice,9,69,2,167,102,1,88,23,35,,46,,7,40,17,1,700,607,609
1996,Středočeský kraj,Benešov,Drahňovice,4,5,0,8,16,0,5,0,1,,3,,1,1,2,0,53,46,46
1996,Středočeský kraj,Benešov,Dunice,3,18,0,5,10,0,2,2,5,,6,,0,0,0,0,58,51,52
1996,Středočeský kraj,Benešov,Heřmaničky,3,47,1,102,129,2,21,16,11,,90,,7,16,17,0,571,462,466
1996,Středočeský kraj,Benešov,Hradiště,0,3,0,10,2,0,0,0,4,,0,,0,8,1,0,29,28,29
1996,Středočeský kraj,Benešov,Hulice,1,20,0,63,70,0,29,1,5,,10,,4,11,5,0,249,219,220
1996,Středočeský kraj,Benešov,Hvězdonice,2,9,1,41,102,1,34,2,15,,18,,3,6,8,0,271,242,243
1996,Středočeský kraj,Benešov,Chářovice,0,6,1,27,37,0,11,6,2,,6,,0,5,7,1,126,109,109
1996,Středočeský kraj,Benešov,Chleby,0,6,0,9,8,1,2,2,3,,5,,1,4,5,0,46,46,46
1996,Středočeský kraj,Benešov,Chlístov,0,2,0,25,58,0,9,0,10,,19,,3,2,9,0,164,137,139
1996,Středočeský kraj,Benešov,Chlum,0,30,0,36,14,1,4,1,2,,13,,0,1,2,0,108,104,104
1996,Středočeský kraj,Benešov,Chmelná,2,39,0,15,11,1,1,0,0,,2,,0,0,0,0,76,71,73
1996,Středočeský kraj,Benešov,Chocerady,3,54,1,156,193,4,58,11,30,,56,,14,28,32,0,825,640,649
1996,Středočeský kraj,Benešov,Choratice,0,10,0,15,13,0,6,0,0,,2,,1,3,2,0,53,52,52
1996,Středočeský kraj,Benešov,Chotýšany,1,35,0,74,85,0,13,0,22,,17,,7,12,18,1,364,285,286
1996,Středočeský kraj,Benešov,Chrášťany,3,20,0,21,32,1,14,0,8,,14,,2,4,9,0,140,128,128
1996,Středočeský kraj,Benešov,Jankov,3,73,1,138,105,0,55,10,30,,76,,11,12,50,0,657,564,571
1996,Středočeský kraj,Benešov,Javorník,1,16,0,35,24,0,3,2,4,,3,,1,1,3,0,103,93,93
1996,Středočeský kraj,Benešov,Ješetice,0,18,0,29,14,1,7,2,0,,12,,0,8,3,0,122,94,101
1996,Středočeský kraj,Benešov,Kamberk,2,22,0,23,23,0,10,3,5,,14,,7,1,10,0,149,120,121
1996,Středočeský kraj,Benešov,Keblov,0,24,0,60,35,6,12,2,3,,11,,0,1,3,0,168,157,157
1996,Středočeský kraj,Benešov,Kladruby,2,31,0,45,61,0,19,4,11,,21,,7,15,8,0,265,224,224
1996,Středočeský kraj,Benešov,Kondrac,2,55,0,65,80,0,17,3,13,,29,,10,9,12,0,333,295,297
1996,Středočeský kraj,Benešov,Kozmice,0,24,0,43,54,0,9,2,6,,7,,2,5,16,0,194,168,169
1996,Středočeský kraj,Benešov,Krhanice,6,27,0,122,192,4,45,7,44,,35,,26,19,32,1,732,560,565
1996,Středočeský kraj,Benešov,Krňany,7,14,1,49,87,1,29,6,9,,19,,5,3,17,0,283,247,247
1996,Středočeský kraj,Benešov,Křečovice,7,66,1,102,118,2,75,12,17,,30,,12,22,39,0,580,503,504
1996,Středočeský kraj,Benešov,Křivsoudov,4,48,1,76,55,1,21,1,12,,22,,7,0,24,0,335,272,275
1996,Středočeský kraj,Benešov,Kuňovice,0,32,0,7,7,0,2,1,7,,0,,2,0,1,0,60,59,59
1996,Středočeský kraj,Benešov,Lešany,7,6,2,128,97,0,45,2,8,,24,,36,5,11,0,421,371,373
1996,Středočeský kraj,Benešov,Libež,0,16,0,25,24,0,11,0,0,,6,,1,2,1,0,125,86,90
1996,Středočeský kraj,Benešov,Litichovice,1,10,0,9,4,0,6,0,3,,3,,3,5,0,0,46,44,44
1996,Středočeský kraj,Benešov,Loket,2,76,0,119,83,4,20,7,7,,39,,8,16,11,0,418,392,396
1996,Středočeský kraj,Benešov,Louňovice p.Blaníkem,6,50,1,99,146,0,41,7,28,,41,,19,6,14,0,541,458,459
1996,Středočeský kraj,Benešov,Lštění,3,11,0,45,81,0,21,9,21,,8,,5,0,1,0,241,205,207
1996,Středočeský kraj,Benešov,Maršovice,6,56,0,146,91,14,50,11,24,,50,,8,4,22,0,542,482,484
1996,Středočeský kraj,Benešov,Mezno,3,30,0,55,81,0,22,4,7,,15,,6,1,22,1,307,247,257
1996,Středočeský kraj,Benešov,Miličín,8,62,0,142,181,7,57,7,28,,49,,14,11,21,0,711,587,592
1996,Středočeský kraj,Benešov,Miřetice,0,26,0,15,28,0,6,2,5,,3,,1,8,0,0,97,94,94
1996,Středočeský kraj,Benešov,Mnichovice,0,43,0,40,26,1,9,3,8,,8,,7,5,7,0,185,157,157
1996,Středočeský kraj,Benešov,Mrač,5,18,0,98,122,17,35,11,22,,15,,5,24,19,0,482,391,394
1996,Středočeský kraj,Benešov,Načeradec,1,106,1,142,182,14,66,8,25,,82,,15,9,24,0,840,675,682
1996,Středočeský kraj,Benešov,Nemíž,0,5,1,7,9,1,2,0,1,,0,,1,0,3,0,32,30,30
