year,region,county,town,,Nezávislí,kdúčsl,ods,ksčm,sz,Unie svobody,Sdruž.pro rep.-Republ.str.Čsl.,čssd,Občanská koalice-Politic.klub,Demokratická unie,Důchodci za životní jistoty,Česká strana národně sociální,Moravská demokratická strana,voters,votes_ok,votes_all
1998,Praha,Praha I,Praha 1,,116,2014,11275,1016,146,4002,460,4623,55,491,374,58,,31964,24630,24717
1998,Praha,Praha II,Praha 2,,154,2320,15631,1403,224,5084,680,6975,64,644,595,70,,50240,33844,34042
1998,Praha,Praha III,Praha 3,,192,2778,19588,2938,327,5968,1004,10261,120,877,923,132,,65932,45108,45282
1998,Praha,Praha IV,Praha 4,,393,5592,38105,5587,584,12071,1655,19443,185,1634,1683,187,,123322,87119,87414
1998,Praha,Praha V,Praha 5,,226,2963,20374,2460,312,6754,901,9846,117,889,776,98,,67031,45716,45925
1998,Praha,Praha V,Praha-Lipence,,5,45,417,51,2,72,20,204,2,21,51,0,,1131,890,896
1998,Praha,Praha V,Praha-Lochkov,,2,16,142,35,2,35,6,100,0,7,9,1,,452,355,355
1998,Praha,Praha V,Praha-Radotín,,27,231,1905,340,40,536,107,983,4,86,80,7,,5425,4346,4367
1998,Praha,Praha V,Praha-Řeporyje,,13,100,647,74,16,194,31,258,2,30,28,1,,1794,1394,1399
1998,Praha,Praha V,Praha-Slivenec,,13,55,553,79,10,150,27,257,3,32,21,1,,1548,1201,1206
1998,Praha,Praha V,Praha-Velká Chuchle,,9,54,480,72,9,124,15,207,6,41,23,2,,1305,1042,1050
1998,Praha,Praha V,Praha-Zbraslav,,24,274,2090,329,42,611,67,1035,10,80,57,10,,6260,4629,4647
1998,Praha,Praha V,Praha-Zličín,,11,70,665,137,18,210,59,477,2,54,31,3,,2443,1737,1740
1998,Praha,Praha VI,Praha 6,,274,4856,27545,6282,444,10417,1208,14141,133,1095,1138,121,,86365,67654,67889
1998,Praha,Praha VI,Praha-Lysolaje,,4,39,212,37,5,66,6,95,0,12,1,1,,658,478,480
1998,Praha,Praha VI,Praha-Nebušice,,5,62,500,112,12,128,30,288,2,18,25,3,,1561,1185,1188
1998,Praha,Praha VI,Praha-Před.Kopanina,,0,16,120,9,1,20,2,34,1,1,0,0,,206,204,206
1998,Praha,Praha VI,Praha-Řepy,,65,812,4923,858,107,1488,254,3208,23,250,147,15,,17977,12150,12205
1998,Praha,Praha VI,Praha-Suchdol,,16,259,1342,260,20,480,61,715,1,59,35,9,,4205,3257,3266
1998,Praha,Praha VII,Praha 7,,121,1486,11131,1452,198,3781,589,5841,54,549,453,60,,35796,25715,25807
1998,Praha,Praha VII,Praha-Troja,,2,47,246,24,6,84,13,116,0,16,5,0,,729,559,559
1998,Praha,Praha VIII,Praha 8,,312,3585,25988,5435,500,8036,1469,16439,136,1275,1301,156,,96214,64632,64982
1998,Praha,Praha VIII,Praha-Březiněves,,3,21,142,36,3,29,5,115,1,14,4,3,,451,376,376
1998,Praha,Praha VIII,Praha-Ďáblice,,12,70,581,143,12,127,32,309,0,28,31,4,,1798,1349,1357
1998,Praha,Praha VIII,Praha-Dolní Chabry,,10,79,649,102,7,160,38,302,2,40,24,1,,1878,1414,1424
1998,Praha,Praha IX,Praha 14,,111,966,7507,1233,176,2054,532,4903,30,350,339,27,,25987,18228,18266
1998,Praha,Praha IX,Praha 9,,103,1445,11139,1720,204,2945,612,6473,54,534,573,55,,39712,25857,25951
1998,Praha,Praha IX,Praha-Běchovice,,4,64,393,90,8,98,26,224,1,27,17,4,,1239,956,971
1998,Praha,Praha IX,Praha-Čakovice,,26,181,1333,371,33,324,84,960,3,73,93,12,,4487,3493,3525
1998,Praha,Praha IX,Praha-Dol.Počernice,,5,81,462,82,7,155,28,226,1,47,18,3,,1443,1115,1117
1998,Praha,Praha IX,Praha-Hor.Počernice,,36,397,2921,837,65,808,197,1924,12,116,139,15,,9912,7467,7506
1998,Praha,Praha IX,Praha-Kbely,,19,182,1058,337,31,270,112,784,7,53,71,6,,3701,2930,2942
1998,Praha,Praha IX,Praha-Klánovice,,8,86,840,64,7,225,17,281,3,60,17,3,,2008,1611,1616
1998,Praha,Praha IX,Praha-Koloděje,,2,26,186,34,1,40,15,105,0,3,10,2,,552,424,426
1998,Praha,Praha IX,Praha-Letňany,,40,388,3077,614,110,890,209,2598,12,251,167,13,,11279,8369,8403
1998,Praha,Praha IX,Praha-Satalice,,5,51,393,66,4,84,19,189,3,12,20,0,,1096,846,846
1998,Praha,Praha IX,Praha-Újezd n.Lesy,,25,183,1608,237,49,400,83,1045,6,76,58,3,,5146,3773,3784
1998,Praha,Praha IX,Praha-Vinoř,,12,79,519,110,13,194,31,402,1,23,27,2,,1827,1413,1418
1998,Praha,Praha X,Praha 10,,321,4527,30625,5192,523,9347,1461,16919,147,1424,1560,237,,101524,72283,72523
1998,Praha,Praha X,Praha 15,,85,771,6944,999,122,1990,372,4080,44,341,202,28,,21630,15978,16030
1998,Praha,Praha X,Praha-Benice,,6,16,67,12,1,16,5,50,0,3,3,0,,223,179,180
1998,Praha,Praha X,Praha-Dol.Měcholupy,,3,38,332,35,1,60,20,146,3,11,10,4,,828,663,667
1998,Praha,Praha X,Praha-Dubeč,,10,67,442,89,6,115,31,314,4,20,17,3,,1512,1118,1122
1998,Praha,Praha X,Praha-Kolovraty,,8,83,407,76,10,94,25,258,4,17,17,3,,1246,1002,1007
1998,Praha,Praha X,Praha-Královice,,2,9,63,20,1,10,7,53,1,3,12,0,,224,181,183
1998,Praha,Praha X,Praha-Křeslice,,1,24,58,14,1,13,0,57,1,3,1,0,,217,173,173
1998,Praha,Praha X,Praha-Nedvězí,,0,7,80,4,1,23,7,28,0,3,1,0,,179,154,154
1998,Praha,Praha X,Praha-Petrovice,,16,199,1271,201,36,429,63,748,10,71,24,10,,4274,3078,3081
1998,Praha,Praha X,Praha-Štěrboholy,,1,40,260,47,5,48,14,95,1,9,11,0,,662,531,532
1998,Praha,Praha X,Praha-Uhříněves,,15,144,1107,174,27,283,91,789,4,50,55,5,,3683,2744,2749
1998,Praha,Praha XI,Praha 11,,263,2760,20254,3749,431,6420,1133,12892,103,1022,775,122,,69031,49924,50096
1998,Praha,Praha XI,Praha-Kunratice,,6,159,1172,202,23,335,53,479,5,57,47,12,,3223,2550,2562
1998,Praha,Praha XI,Praha-Šeberov,,4,51,409,58,4,69,23,191,3,19,16,4,,1088,851,855
1998,Praha,Praha XI,Praha-Újezd,,7,44,452,33,4,119,16,149,0,15,11,5,,1169,855,855
1998,Praha,Praha XII,Praha 12,,206,1863,13360,2766,283,4011,791,8409,74,688,448,74,,45877,32973,33126
1998,Praha,Praha XII,Praha-Libuš,,9,197,1924,232,38,557,79,922,6,76,32,14,,5650,4086,4099
1998,Praha,Praha XIII,Praha 13,,160,1446,10482,1482,200,3511,599,6237,48,516,303,59,,37222,25043,25122
1998,Středočeský kraj,Benešov,Benešov,,79,706,3094,763,94,852,231,3257,26,142,264,24,,12538,9532,9583
1998,Středočeský kraj,Benešov,Bernartice,,1,63,29,8,2,5,1,55,0,4,6,1,,194,175,178
1998,Středočeský kraj,Benešov,Bílkovice,,5,12,14,24,1,3,8,72,0,1,11,0,,172,151,156
1998,Středočeský kraj,Benešov,Blažejovice,,0,17,12,12,1,6,2,27,0,0,1,0,,91,78,78
1998,Středočeský kraj,Benešov,Borovnice,,1,12,22,1,0,1,0,32,0,0,1,0,,83,70,73
1998,Středočeský kraj,Benešov,Bukovany,,1,15,100,31,3,24,15,88,5,3,10,0,,424,295,297
1998,Středočeský kraj,Benešov,Bystřice,,32,258,559,197,20,114,96,858,7,24,90,4,,2971,2259,2273
1998,Středočeský kraj,Benešov,Ctiboř,,0,13,20,3,1,3,6,23,0,0,0,0,,82,69,69
1998,Středočeský kraj,Benešov,Čakov,,0,15,22,4,0,5,3,14,0,3,1,0,,87,67,67
1998,Středočeský kraj,Benešov,Čechtice,,10,214,174,89,7,72,26,274,1,16,14,2,,1121,899,901
1998,Středočeský kraj,Benešov,Čerčany,,17,112,599,68,26,142,51,466,6,12,37,1,,2081,1537,1543
1998,Středočeský kraj,Benešov,Červený Újezd,,1,46,63,11,0,13,4,59,1,0,11,1,,254,210,214
1998,Středočeský kraj,Benešov,Český Šternberk,,0,10,53,17,2,10,2,29,0,2,4,0,,153,129,129
1998,Středočeský kraj,Benešov,Čtyřkoly,,1,14,68,15,1,10,5,56,1,3,7,0,,218,181,185
1998,Středočeský kraj,Benešov,Děkanovice,,0,23,4,4,0,2,2,8,0,1,0,0,,49,44,44
1998,Středočeský kraj,Benešov,Divišov,,7,98,179,110,13,44,25,310,3,6,16,8,,1049,819,825
1998,Středočeský kraj,Benešov,Dolní Kralovice,,7,97,110,75,5,32,17,193,1,12,32,0,,721,581,582
1998,Středočeský kraj,Benešov,Drahňovice,,1,8,18,6,0,5,2,10,0,1,0,0,,51,51,51
1998,Středočeský kraj,Benešov,Dunice,,0,16,7,6,3,4,0,13,0,0,1,0,,54,50,50
1998,Středočeský kraj,Benešov,Heřmaničky,,4,43,121,54,8,32,18,129,4,7,16,0,,573,436,437
1998,Středočeský kraj,Benešov,Hradiště,,4,5,2,0,1,2,0,9,0,0,1,1,,38,25,25
1998,Středočeský kraj,Benešov,Hulice,,4,16,67,30,3,23,7,56,1,1,4,0,,254,212,212
1998,Středočeský kraj,Benešov,Hvězdonice,,3,6,104,24,2,18,1,62,1,4,3,1,,272,229,230
1998,Středočeský kraj,Benešov,Chářovice,,3,3,28,10,2,6,2,52,0,0,5,1,,123,112,113
1998,Středočeský kraj,Benešov,Chleby,,1,4,9,2,0,4,1,17,0,0,2,2,,46,42,42
1998,Středočeský kraj,Benešov,Chlístov,,1,5,63,7,2,12,2,46,0,0,6,0,,177,144,145
1998,Středočeský kraj,Benešov,Chlum,,1,30,9,11,2,3,0,33,0,0,4,0,,107,93,93
1998,Středočeský kraj,Benešov,Chmelná,,1,36,10,0,2,1,2,15,0,0,1,0,,77,68,69
1998,Středočeský kraj,Benešov,Chocerady,,12,53,179,78,4,54,30,221,3,8,20,3,,846,665,669
1998,Středočeský kraj,Benešov,Choratice,,0,9,13,2,0,5,1,14,0,0,0,0,,48,44,44
1998,Středočeský kraj,Benešov,Chotýšany,,7,28,73,7,2,18,3,112,0,1,11,0,,351,262,262
1998,Středočeský kraj,Benešov,Chrášťany,,2,24,27,10,2,5,6,33,0,1,6,0,,139,116,118
1998,Středočeský kraj,Benešov,Jankov,,9,76,85,70,7,26,51,169,1,3,37,4,,646,538,547
1998,Středočeský kraj,Benešov,Javorník,,1,20,8,6,0,11,1,37,0,1,5,0,,109,90,93
1998,Středočeský kraj,Benešov,Ješetice,,0,22,8,16,1,4,4,30,0,1,2,1,,108,89,89
1998,Středočeský kraj,Benešov,Kamberk,,0,15,32,9,1,7,9,49,0,0,5,0,,165,127,128
1998,Středočeský kraj,Benešov,Keblov,,0,21,37,11,1,3,1,57,2,0,8,0,,164,141,141
1998,Středočeský kraj,Benešov,Kladruby,,2,25,36,12,4,19,6,58,0,10,9,1,,182,182,182
1998,Středočeský kraj,Benešov,Kondrac,,3,67,64,22,1,28,12,77,0,0,4,0,,346,278,280
1998,Středočeský kraj,Benešov,Kozmice,,2,26,46,14,0,13,6,40,0,5,10,1,,191,163,165
1998,Středočeský kraj,Benešov,Krhanice,,7,40,171,41,5,46,17,181,2,7,30,4,,705,551,557
1998,Středočeský kraj,Benešov,Krňany,,1,11,83,22,2,18,10,70,0,4,13,0,,289,234,234
1998,Středočeský kraj,Benešov,Křečovice,,7,81,120,83,11,45,10,139,0,14,19,0,,634,529,530
1998,Středočeský kraj,Benešov,Křivsoudov,,1,53,49,22,2,18,10,91,2,0,11,1,,329,260,261
1998,Středočeský kraj,Benešov,Kuňovice,,0,41,8,1,0,1,0,14,0,0,1,0,,69,66,66
1998,Středočeský kraj,Benešov,Lešany,,4,13,84,42,2,19,4,131,0,0,12,15,,409,326,326
1998,Středočeský kraj,Benešov,Libež,,1,18,20,13,3,4,3,26,0,0,2,0,,124,90,90
1998,Středočeský kraj,Benešov,Litichovice,,0,14,2,5,0,3,2,16,0,0,3,0,,49,45,45
1998,Středočeský kraj,Benešov,Loket,,2,82,55,15,7,19,16,158,2,4,17,0,,438,377,377
1998,Středočeský kraj,Benešov,Louňovice p.Blaníkem,,9,64,118,49,2,50,15,131,0,1,12,2,,455,453,455
1998,Středočeský kraj,Benešov,Lštění,,1,16,92,25,3,19,8,68,0,3,3,0,,272,238,238
1998,Středočeský kraj,Benešov,Maršovice,,8,56,87,54,6,32,16,179,1,4,15,0,,549,458,460
1998,Středočeský kraj,Benešov,Mezno,,2,30,72,26,0,24,3,72,2,5,10,1,,318,247,247
1998,Středočeský kraj,Benešov,Miličín,,13,61,124,64,6,56,26,194,2,8,20,0,,715,574,577
1998,Středočeský kraj,Benešov,Miřetice,,0,24,28,7,0,11,2,24,0,2,0,0,,107,98,98
1998,Středočeský kraj,Benešov,Mnichovice,,1,41,19,15,0,13,2,49,1,0,8,1,,190,150,151
1998,Středočeský kraj,Benešov,Mrač,,3,18,102,38,3,24,7,143,0,19,16,0,,495,373,380
1998,Středočeský kraj,Benešov,Načeradec,,10,104,142,69,4,45,25,204,2,8,20,1,,830,634,637
1998,Středočeský kraj,Benešov,Nemíž,,0,8,9,1,0,0,0,5,0,1,1,1,,31,26,26
1998,Středočeský kraj,Benešov,Nespeky,,3,17,139,7,2,35,10,79,0,5,6,0,,363,303,303
1998,Středočeský kraj,Benešov,Netvořice,,8,59,200,49,6,51,26,195,0,7,20,0,,810,621,625
1998,Středočeský kraj,Benešov,Neustupov,,1,51,59,27,6,21,16,121,2,5,9,0,,421,318,321
1998,Středočeský kraj,Benešov,Neveklov,,18,146,374,125,22,106,35,499,2,27,37,7,,1701,1398,1420
1998,Středočeský kraj,Benešov,Olbramovice,,16,77,161,80,15,41,22,239,3,11,15,1,,878,681,683
1998,Středočeský kraj,Benešov,Ostrov,,0,7,13,0,1,1,1,22,0,0,0,0,,50,45,46
1998,Středočeský kraj,Benešov,Ostředek,,4,50,82,11,1,10,7,64,0,3,9,0,,302,241,241
1998,Středočeský kraj,Benešov,Pavlovice,,0,11,26,9,0,8,6,40,0,0,5,1,,129,106,106
1998,Středočeský kraj,Benešov,Petroupim,,3,17,55,18,1,15,6,48,0,1,6,0,,217,170,171
1998,Středočeský kraj,Benešov,Popovice,,1,24,34,25,5,8,5,61,1,3,4,0,,214,171,171
1998,Středočeský kraj,Benešov,Poříčí nad Sázavou,,5,58,138,50,9,66,24,195,3,10,21,1,,586,580,585
1998,Středočeský kraj,Benešov,Postupice,,3,65,135,42,11,38,20,274,6,15,29,1,,849,639,643
1998,Středočeský kraj,Benešov,Pravonín,,1,49,102,46,1,22,17,110,0,4,10,0,,446,362,362
1998,Středočeský kraj,Benešov,Přestavlky u Čerčan,,0,12,65,8,1,11,2,54,0,0,6,1,,196,160,161
1998,Středočeský kraj,Benešov,Psáře,,0,13,26,11,3,5,7,24,1,0,1,0,,104,91,91
1998,Středočeský kraj,Benešov,Pyšely,,14,57,266,70,21,36,17,219,4,6,35,1,,950,746,768
1998,Středočeský kraj,Benešov,Rabyně,,4,12,40,15,1,8,13,38,0,5,4,1,,177,141,141
1998,Středočeský kraj,Benešov,Radošovice,,3,61,24,33,1,5,2,61,0,1,9,0,,249,200,200
1998,Středočeský kraj,Benešov,Rataje,,2,25,38,11,1,7,10,28,0,2,4,1,,151,129,129
1998,Středočeský kraj,Benešov,Ratměřice,,3,27,27,11,0,4,11,56,0,2,10,0,,183,151,151
1998,Středočeský kraj,Benešov,Římovice,,0,15,16,5,1,10,7,47,0,0,4,0,,140,105,105
1998,Středočeský kraj,Benešov,Sedlec-Prčice,,17,364,376,171,19,200,113,510,6,30,93,10,,2422,1909,1918
1998,Středočeský kraj,Benešov,Slověnice,,0,5,2,4,0,0,2,13,0,3,4,0,,38,33,33
1998,Středočeský kraj,Benešov,Smilkov,,1,27,25,24,5,5,2,65,1,1,7,0,,214,163,164
1998,Středočeský kraj,Benešov,Snět,,0,36,7,1,1,4,6,34,0,1,2,0,,98,92,92
1998,Středočeský kraj,Benešov,Soběhrdy,,2,26,57,15,1,26,3,56,1,0,5,0,,226,192,194
1998,Středočeský kraj,Benešov,Soutice,,2,33,29,13,0,15,2,50,2,3,6,0,,209,155,156
1998,Středočeský kraj,Benešov,Stranný,,1,6,12,16,3,4,2,31,2,0,2,0,,86,79,79
1998,Středočeský kraj,Benešov,Strojetice,,1,14,9,14,1,2,2,48,1,3,3,0,,112,98,98
1998,Středočeský kraj,Benešov,Struhařov,,5,34,105,35,4,21,9,182,3,4,15,1,,510,418,419
1998,Středočeský kraj,Benešov,Střezimíř,,0,15,69,20,2,34,14,62,2,1,12,0,,270,231,233
1998,Středočeský kraj,Benešov,Studený,,0,13,5,15,1,4,2,21,0,2,0,0,,85,63,63
1998,Středočeský kraj,Benešov,Šetějovice,,0,24,11,3,1,0,0,7,0,0,2,0,,52,48,48
1998,Středočeský kraj,Benešov,Tehov,,0,15,30,10,3,17,2,55,1,5,6,0,,221,144,145
1998,Středočeský kraj,Benešov,Teplýšovice,,2,76,53,12,3,11,9,95,1,5,5,2,,315,274,275
1998,Středočeský kraj,Benešov,Tichonice,,0,21,27,12,5,18,6,58,1,7,12,0,,178,167,168
1998,Středočeský kraj,Benešov,Tisem,,1,5,43,5,1,5,7,54,0,0,4,0,,147,125,125
1998,Středočeský kraj,Benešov,Tomice,,0,21,20,7,0,5,5,28,0,3,4,0,,104,93,93
1998,Středočeský kraj,Benešov,Trhový Štěpánov,,6,149,159,68,4,49,23,196,6,11,22,1,,977,694,696
1998,Středočeský kraj,Benešov,Třebešice,,1,6,20,9,0,3,1,15,0,0,5,0,,62,60,61
1998,Středočeský kraj,Benešov,Týnec nad Sázavou,,31,172,937,381,39,238,80,1062,14,22,76,2,,4083,3054,3075
1998,Středočeský kraj,Benešov,Václavice,,0,22,80,22,1,21,9,126,4,5,6,1,,359,297,298
1998,Středočeský kraj,Benešov,Veliš,,3,44,34,25,2,8,5,74,4,4,3,1,,262,207,207
1998,Středočeský kraj,Benešov,Vlašim,,46,635,1772,779,55,518,232,2748,32,81,304,30,,9884,7232,7250
1998,Středočeský kraj,Benešov,Vodslivy,,0,15,18,6,0,0,4,16,0,2,1,0,,67,62,62
1998,Středočeský kraj,Benešov,Vojkov,,3,24,49,38,10,13,8,96,0,3,36,1,,396,281,282
1998,Středočeský kraj,Benešov,Votice,,26,256,701,268,27,194,113,919,12,37,78,11,,3502,2642,2660
1998,Středočeský kraj,Benešov,Vracovice,,4,44,67,21,4,14,5,56,0,5,1,0,,282,221,223
1998,Středočeský kraj,Benešov,Vranov,,1,19,47,15,2,17,6,79,0,3,2,0,,253,191,192
1998,Středočeský kraj,Benešov,Vrchotovy Janovice,,7,43,92,52,10,34,9,193,2,6,22,1,,643,471,473
1998,Středočeský kraj,Benešov,Všechlapy,,0,7,23,4,0,4,0,11,0,3,2,1,,63,55,55
1998,Středočeský kraj,Benešov,Vysoký Újezd,,3,4,47,12,2,7,16,36,0,0,6,1,,156,134,135
1998,Středočeský kraj,Benešov,Xaverov,,0,6,6,4,1,1,1,8,0,1,2,0,,40,30,30
1998,Středočeský kraj,Benešov,Zdislavice,,12,56,94,23,3,24,9,107,0,2,4,0,,401,334,336
1998,Středočeský kraj,Benešov,Zvěstov,,4,43,46,28,6,13,5,101,2,5,17,3,,322,273,273
1998,Středočeský kraj,Beroun,Bavoryně,,1,14,21,7,1,6,4,33,0,2,7,0,,139,96,96
1998,Středočeský kraj,Beroun,Beroun,,67,463,3330,1156,85,734,446,3283,38,123,332,35,,14246,10092,10133
1998,Středočeský kraj,Beroun,Běštín,,4,10,38,33,3,5,9,75,0,1,7,0,,233,185,187
1998,Středočeský kraj,Beroun,Broumy,,9,15,152,88,9,33,19,141,1,7,12,3,,614,489,491
1998,Středočeský kraj,Beroun,Březová,,0,4,43,26,0,13,11,40,2,4,15,1,,191,159,159
1998,Středočeský kraj,Beroun,Bubovice,,2,6,41,18,1,1,4,74,0,3,3,0,,154,153,154
1998,Středočeský kraj,Beroun,Bykoš,,3,10,26,24,4,7,10,45,1,0,5,0,,165,135,135
1998,Středočeský kraj,Beroun,Bzová,,2,10,64,62,7,19,11,94,3,7,4,3,,346,286,288
1998,Středočeský kraj,Beroun,Cerhovice,,8,39,162,61,11,31,16,220,2,0,25,1,,747,576,580
1998,Středočeský kraj,Beroun,Drozdov,,4,36,91,127,9,18,13,118,1,5,6,0,,508,428,428
1998,Středočeský kraj,Beroun,Felbabka,,0,7,36,37,2,3,3,67,0,6,5,0,,199,166,167
1998,Středočeský kraj,Beroun,Hlásná Třebaň,,2,11,176,13,3,35,9,52,1,4,8,0,,397,314,316
1998,Středočeský kraj,Beroun,Hořovice,,33,194,1193,450,39,281,140,1153,10,50,211,12,,4987,3766,3780
1998,Středočeský kraj,Beroun,Hostomice,,11,62,227,136,13,61,25,311,1,11,70,4,,1239,932,941
1998,Středočeský kraj,Beroun,Hředle,,2,13,54,40,0,23,13,67,0,2,12,1,,255,227,229
1998,Středočeský kraj,Beroun,Hudlice,,4,31,186,147,6,42,20,250,0,6,27,6,,951,725,729
1998,Středočeský kraj,Beroun,Hvozdec,,2,23,18,50,1,12,3,47,2,0,6,1,,192,165,165
1998,Středočeský kraj,Beroun,Hýskov,,4,26,220,89,5,56,33,270,2,16,25,4,,946,750,756
1998,Středočeský kraj,Beroun,Chaloupky,,4,7,71,51,2,14,9,83,1,2,5,0,,310,249,250
1998,Středočeský kraj,Beroun,Chlustina,,7,26,30,9,4,16,6,25,2,4,5,0,,165,134,134
1998,Středočeský kraj,Beroun,Chodouň,,4,20,78,30,3,16,15,99,0,8,10,2,,363,285,285
1998,Středočeský kraj,Beroun,Chrustenice,,4,13,118,45,8,32,6,131,1,3,16,6,,487,383,384
