year,region,KSČM,ČSSD,VV,(STA)N,KDU,SZ,ODS,Piráti,Úsvit,ANO,TOP,SPD
2006,Hlavní město Praha,2,6,,,1,2,14,,,,,
2006,Středočeský kraj,3,8,,,1,1,10,,,,,
2006,Jihočeský kraj,2,4,,,1,0,6,,,,,
2006,Plzeňský kraj,2,4,,,0,0,5,,,,,
2006,Karlovarský kraj,1,2,,,0,0,2,,,,,
2006,Ústecký kraj,2,6,,,0,1,5,,,,,
2006,Liberecký kraj,1,3,,,0,0,4,,,,,
2006,Královéhradecký kraj,1,4,,,1,0,5,,,,,
2006,Pardubický kraj,1,4,,,1,0,4,,,,,
2006,Kraj Vysočina,2,4,,,1,0,3,,,,,
2006,Jihomoravský kraj,3,8,,,3,1,8,,,,,
2006,Olomoucký kraj,2,5,,,1,0,4,,,,,
2006,Zlínský kraj,1,5,,,2,0,4,,,,,
2006,Moravskoslezský kraj,3,11,,,1,1,7,,,,,
2010,Hlavní město Praha,2,4,3,,,,8,,,,8,
2010,Středočeský kraj,3,6,3,,,,7,,,,5,
2010,Jihočeský kraj,2,3,1,,,,4,,,,3,
2010,Plzeňský kraj,2,3,1,,,,3,,,,2,
2010,Karlovarský kraj,1,1,1,,,,1,,,,1,
2010,Ústecký kraj,2,5,2,,,,3,,,,2,
2010,Liberecký kraj,1,2,1,,,,2,,,,2,
2010,Královéhradecký kraj,1,3,1,,,,3,,,,3,
2010,Pardubický kraj,1,3,1,,,,3,,,,2,
2010,Kraj Vysočina,2,3,1,,,,2,,,,2,
2010,Jihomoravský kraj,3,7,3,,,,6,,,,4,
2010,Olomoucký kraj,2,4,2,,,,2,,,,2,
2010,Zlínský kraj,1,4,1,,,,4,,,,2,
2010,Moravskoslezský kraj,3,8,3,,,,5,,,,3,
2013,Hlavní město Praha,2,4,,,1,,4,,1,5,7,
2013,Středočeský kraj,4,6,,,1,,2,,2,6,4,
2013,Jihočeský kraj,2,3,,,1,,1,,1,2,2,
2013,Plzeňský kraj,2,3,,,0,,1,,0,3,2,
2013,Karlovarský kraj,1,2,,,0,,0,,0,2,0,
2013,Ústecký kraj,3,4,,,0,,1,,1,4,1,
2013,Liberecký kraj,1,2,,,0,,0,,1,2,2,
2013,Královéhradecký kraj,2,2,,,1,,1,,1,3,1,
2013,Pardubický kraj,2,2,,,1,,1,,1,2,1,
2013,Kraj Vysočina,2,3,,,1,,1,,1,2,1,
2013,Jihomoravský kraj,4,6,,,3,,2,,1,5,2,
2013,Olomoucký kraj,2,3,,,1,,1,,1,3,1,
2013,Zlínský kraj,2,3,,,2,,0,,1,3,1,
2013,Moravskoslezský kraj,4,7,,,2,,1,,2,5,1,
2017,Hlavní město Praha,1,1,,1,1,,5,5,,6,3,1
2017,Středočeský kraj,2,2,,2,0,,4,3,,9,2,2
2017,Jihočeský kraj,1,1,,0,1,,2,1,,5,1,1
2017,Plzeňský kraj,1,1,,0,0,,2,1,,5,0,1
2017,Karlovarský kraj,0,0,,0,0,,0,1,,3,0,1
2017,Ústecký kraj,1,1,,0,0,,1,1,,7,0,2
2017,Liberecký kraj,0,0,,1,0,,1,1,,4,0,1
2017,Královéhradecký kraj,1,1,,0,1,,1,1,,5,0,1
2017,Pardubický kraj,1,1,,0,1,,1,1,,4,0,1
2017,Kraj Vysočina,1,1,,0,1,,1,1,,4,0,1
2017,Jihomoravský kraj,2,2,,1,2,,3,2,,7,1,3
2017,Olomoucký kraj,1,1,,0,1,,1,1,,5,0,2
2017,Zlínský kraj,1,1,,1,1,,1,1,,4,0,2
2017,Moravskoslezský kraj,2,2,,0,1,,2,2,,10,0,3
