year,region,county,town,voters,votes_ok,votes_all
1996,Praha,Praha I,Praha 1,33748,24276,24408
1996,Praha,Praha II,Praha 2,51053,34322,34595
1996,Praha,Praha III,Praha 3,65500,45149,45394
1996,Praha,Praha IV,Praha 4,126183,86671,87043
1996,Praha,Praha V,Praha 5,68923,44607,44822
1996,Praha,Praha V,Praha-Lipence,1071,832,840
1996,Praha,Praha V,Praha-Lochkov,446,354,354
1996,Praha,Praha V,Praha-Radotín,5393,4129,4148
1996,Praha,Praha V,Praha-Řeporyje,1744,1415,1420
1996,Praha,Praha V,Praha-Slivenec,1501,1121,1127
1996,Praha,Praha V,Praha-Velká Chuchle,1278,1035,1037
1996,Praha,Praha V,Praha-Zbraslav,6164,4510,4531
1996,Praha,Praha V,Praha-Zličín,2309,1668,1680
1996,Praha,Praha VI,Praha 6,87005,66984,67252
1996,Praha,Praha VI,Praha-Lysolaje,656,514,515
1996,Praha,Praha VI,Praha-Nebušice,1481,1121,1125
1996,Praha,Praha VI,Praha-Před.Kopanina,255,193,193
1996,Praha,Praha VI,Praha-Řepy,16351,11188,11229
1996,Praha,Praha VI,Praha-Suchdol,4089,3246,3268
1996,Praha,Praha VII,Praha 7,36859,25525,25676
1996,Praha,Praha VII,Praha-Troja,674,531,534
1996,Praha,Praha VIII,Praha 8,100084,63680,63989
1996,Praha,Praha VIII,Praha-Březiněves,469,363,366
1996,Praha,Praha VIII,Praha-Ďáblice,1831,1321,1329
1996,Praha,Praha VIII,Praha-Dolní Chabry,1794,1391,1401
1996,Praha,Praha IX,Praha 14,26608,16716,16792
1996,Praha,Praha IX,Praha 9,40927,25639,25731
1996,Praha,Praha IX,Praha-Běchovice,1198,972,977
1996,Praha,Praha IX,Praha-Čakovice,4402,3461,3490
1996,Praha,Praha IX,Praha-Dol.Počernice,1417,1116,1120
1996,Praha,Praha IX,Praha-Hor.Počernice,9643,7074,7115
1996,Praha,Praha IX,Praha-Kbely,3666,2876,2891
1996,Praha,Praha IX,Praha-Klánovice,1944,1519,1529
1996,Praha,Praha IX,Praha-Koloděje,544,422,424
1996,Praha,Praha IX,Praha-Letňany,11007,8150,8182
1996,Praha,Praha IX,Praha-Satalice,1075,856,860
